id,review
1,"El producto llegó en perfectas condiciones, muy buena calidad"
2,"Pésimo servicio, el paquete llegó roto y no me han respondido"
3,"Está bien, cumple con lo que promete"
4,"Excelente compra, lo recomiendo totalmente"
5,"No es bueno, esperaba algo mejor por ese precio"
6,"Regular, ni muy bueno ni muy malo"
7,"Me encantó, llegó antes de lo esperado"
8,"Terrible experiencia, jamás volvería a comprar aquí"
9,"Producto aceptable, la entrega fue rápida"
10,"Increíble calidad, superó mis expectativas"
